,Category,count
367,/Pets & Animals/Pets/Rabbits & Rodents,4
368,/Computers & Electronics/CAD & CAM,5
369,/Home & Garden/Kitchen & Dining,16
370,/Business & Industrial/Transportation & Logistics,282
371,/Online Communities/Online Goodies/Clip Art & Animated GIFs,18
372,/Hobbies & Leisure/Merit Prizes & Contests,76
373,/Autos & Vehicles/Motor Vehicles (By Type)/Trucks & SUVs,24
374,/Health/Mental Health/Anxiety & Stress,22
375,/Health/Oral & Dental Care,27
376,/Reference/General Reference,16
377,/Computers & Electronics/Software,1113
378,/Business & Industrial/Energy & Utilities/Renewable & Alternative Energy,181
379,/Health/Mental Health/Depression,28
380,/Computers & Electronics/Software/Software Utilities,5
381,/Food & Drink/Restaurants/Pizzerias,11
382,/Books & Literature,664
383,/Hobbies & Leisure/Water Activities/Boating,57
384,/Shopping/Consumer Resources/Product Reviews & Price Comparisons,5
385,/Real Estate,185
386,/Business & Industrial/Business Finance,87
387,/News/Gossip & Tabloid News/Scandals & Investigations,5
388,/Autos & Vehicles/Campers & RVs,1
389,/Science/Astronomy,2044
390,/Sports/Water Sports,25
391,/Law & Government/Legal/Legal Education,15
392,/Games/Computer & Video Games/Fighting Games,30
393,/Sports/Individual Sports/Cycling,192
394,/Hobbies & Leisure/Water Activities/Surf & Swim,73
395,/Autos & Vehicles/Motor Vehicles (By Type)/Motorcycles,21
396,/Hobbies & Leisure/Clubs & Organizations,4
397,/Shopping/Apparel/Swimwear,3
398,/Shopping/Consumer Resources/Coupons & Discount Offers,3
399,/Hobbies & Leisure/Clubs & Organizations/Youth Organizations & Resources,8
400,/Arts & Entertainment/Humor/Funny Pictures & Videos,9
401,/News/Sports News,4150
402,/News/Business News,1730
403,/Business & Industrial/Business Finance/Venture Capital,70
404,/Hobbies & Leisure/Special Occasions/Weddings,45
405,/Games/Board Games,7
406,/Travel/Tourist Destinations/Mountain & Ski Resorts,6
407,/Shopping/Consumer Resources,40
408,/Food & Drink/Food & Grocery Retailers,89
409,/Computers & Electronics/Electronics & Electrical/Power Supplies,20
410,/Health/Health Conditions/Ear Nose & Throat,10
411,/Food & Drink/Food/Grains & Pasta,1
412,/Health/Nutrition,64
413,/Travel/Hotels & Accommodations/Vacation Rentals & Short-Term Stays,12
414,/Jobs & Education/Education/Homeschooling,1
415,/Arts & Entertainment/Visual Art & Design/Art Museums & Galleries,49
416,/Pets & Animals/Animal Products & Services/Pet Food & Supplies,11
417,/Games/Computer & Video Games/Driving & Racing Games,28
418,/Arts & Entertainment/Music & Audio/Music Equipment & Technology,39
419,/Health/Health Conditions/Pain Management,13
420,/Autos & Vehicles,851
421,/Hobbies & Leisure/Crafts,29
422,/Food & Drink/Food/Snack Foods,5
423,/Arts & Entertainment/Performing Arts/Circus,1
424,/People & Society/Social Issues & Advocacy/Green Living & Environmental Issues,598
425,/Health/Substance Abuse,52
426,/Hobbies & Leisure/Special Occasions,28
427,/Reference/Language Resources/Foreign Language Resources,11
428,/Law & Government/Public Safety/Crime & Justice,2504
429,/Business & Industrial/Transportation & Logistics/Maritime Transport,48
430,/Computers & Electronics/Consumer Electronics/TV & Video Equipment,124
431,/Computers & Electronics/Computer Security/Hacking & Cracking,261
432,/Finance/Investing,476
433,/Games,160
434,/Health/Public Health,354
435,/Arts & Entertainment/Music & Audio/Music Reference,10
436,/Online Communities/Online Goodies/Social Network Apps & Add-Ons,1
437,"""/Arts & Entertainment/Events & Listings/Bars",18
438,/Business & Industrial/Agriculture & Forestry/Agricultural Equipment,1
439,/News,7529
440,/Food & Drink/Cooking & Recipes/Soups & Stews,5
441,/Computers & Electronics/Programming/Java (Programming Language),4
442,/People & Society/Family & Relationships/Troubled Relationships,46
443,/Shopping/Apparel/Costumes,11
444,/Arts & Entertainment/Comics & Animation,164
445,/Computers & Electronics/Computer Hardware/Computer Drives & Storage,123
446,/Beauty & Fitness/Face & Body Care/Skin & Nail Care,11
447,/Home & Garden/Home Improvement/Flooring,1
448,/News/Politics,7461
449,/People & Society/Social Issues & Advocacy/Charity & Philanthropy,104
450,/Shopping/Antiques & Collectibles,12
451,/Business & Industrial/Retail Trade,1
452,/Computers & Electronics/Networking/Network Monitoring & Management,3
453,/Arts & Entertainment/Music & Audio/Rock Music,361
454,/Arts & Entertainment/Music & Audio/Country Music,74
455,/Arts & Entertainment/Comics & Animation/Anime & Manga,7
456,/Law & Government/Public Safety,1371
457,/Travel/Tourist Destinations/Theme Parks,92
458,/Games/Computer & Video Games/Simulation Games,11
459,/Finance/Investing/Commodities & Futures Trading,22
460,/Arts & Entertainment/Events & Listings/Expos & Conventions,49
461,/Health/Health Conditions/Obesity,26
462,/Games/Arcade & Coin-Op Games,1
463,/Pets & Animals/Pets/Reptiles & Amphibians,44
464,/Sports/Motor Sports,243
465,/Arts & Entertainment/Online Media/Online Image Galleries,147
466,/Food & Drink/Cooking & Recipes,259
467,/Real Estate/Real Estate Listings/Commercial Properties,8
468,/Beauty & Fitness/Face & Body Care/Hygiene & Toiletries,12
469,/Computers & Electronics,2575
470,/News/Weather,378
471,/Games/Computer & Video Games/Music & Dance Games,16
472,/Law & Government/Legal,1571
473,/Hobbies & Leisure/Outdoors/Fishing,14
474,/Sports/Individual Sports/Skate Sports,20
475,/Arts & Entertainment/Events & Listings/Movie Listings & Theater Showtimes,6
476,/Business & Industrial/Industrial Materials & Equipment,5
477,/Business & Industrial/Hospitality Industry,15
478,/Shopping,307
479,/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration,15
480,/People & Society/Social Sciences/Political Science,489
481,/Home & Garden/Home Furnishings/Rugs & Carpets,1
482,/People & Society/Kids & Teens,4
483,/Finance,483
484,/Reference,406
485,/Beauty & Fitness/Cosmetic Procedures/Cosmetic Surgery,15
486,/Travel/Specialty Travel,4
487,/Sports/Team Sports/American Football,944
488,/Science/Chemistry,103
489,/Autos & Vehicles/Motor Vehicles (By Type)/Hybrid & Alternative Vehicles,255
490,/Home & Garden,257
491,/Science/Scientific Institutions,102
492,/Beauty & Fitness/Cosmetic Procedures,5
493,/Health/Health Conditions,414
494,/Arts & Entertainment/TV & Video,493
495,/Business & Industrial/Industrial Materials & Equipment/Heavy Machinery,1
496,/Sports/Team Sports/Basketball,579
497,/Beauty & Fitness/Fashion & Style,135
498,/Games/Computer & Video Games/Sports Games,29
499,/Finance/Accounting & Auditing/Billing & Invoicing,1
500,/Autos & Vehicles/Vehicle Shows,4
501,/Autos & Vehicles/Commercial Vehicles/Cargo Trucks & Trailers,6
502,/Home & Garden/Home & Interior Decor,10
503,/Food & Drink/Food/Breakfast Foods,3
504,/Health/Nutrition/Special & Restricted Diets,17
505,/Sports/Team Sports/Baseball,860
506,/Arts & Entertainment/Music & Audio/World Music,23
507,/Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal,5
508,/Shopping/Toys/Dolls & Accessories,2
509,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,38
510,/Pets & Animals/Pets/Dogs,153
511,/Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys,2
512,/Arts & Entertainment/Entertainment Industry,35
513,/Home & Garden/Home Furnishings/Kitchen & Dining Furniture,1
514,/Business & Industrial/Printing & Publishing,89
515,/Shopping/Toys/Building Toys,35
516,/Health/Medical Facilities & Services/Medical Procedures,150
517,/Business & Industrial/Agriculture & Forestry/Livestock,29
518,/Internet & Telecom/Web Services/Web Design & Development,4
519,/Shopping/Photo & Video Services,5
520,/Autos & Vehicles/Motor Vehicles (By Type)/Off-Road Vehicles,2
521,/Computers & Electronics/Networking/Data Formats & Protocols,10
522,/Arts & Entertainment/Fun & Trivia,14
523,/Food & Drink/Restaurants/Restaurant Reviews & Reservations,4
524,/Sports/Individual Sports,144
525,/Business & Industrial/Business Operations,141
526,/Autos & Vehicles/Motor Vehicles (By Type),192
527,/Finance/Accounting & Auditing,96
528,/Business & Industrial/Transportation & Logistics/Urban Transport,36
529,/Hobbies & Leisure/Crafts/Fiber & Textile Arts,4
530,/Reference/Directories & Listings,1
531,/Computers & Electronics/Consumer Electronics/Game Systems & Consoles,480
532,/Jobs & Education/Education/Primary & Secondary Schooling (K-12),201
533,/Adult,44
534,/Hobbies & Leisure/Outdoors,80
535,/Travel/Tourist Destinations,348
536,/Internet & Telecom/Email & Messaging/Voice & Video Chat,27
537,/Sports/Combat Sports/Wrestling,67
538,/Games/Roleplaying Games,197
539,/Food & Drink/Food,179
540,/Food & Drink/Beverages/Coffee & Tea,73
541,/Beauty & Fitness/Hair Care,17
542,/Health/Medical Facilities & Services/Physical Therapy,1
543,/Arts & Entertainment/Music & Audio,1129
544,/News/Health News,105
545,/Arts & Entertainment/Music & Audio/Dance & Electronic Music,36
546,/Business & Industrial/Business Services,241
547,/Home & Garden/Yard & Patio/Lawn Mowers,1
548,/Food & Drink/Restaurants/Fast Food,67
549,/Autos & Vehicles/Classic Vehicles,11
550,/Beauty & Fitness/Weight Loss,46
551,/Computers & Electronics/Consumer Electronics/GPS & Navigation,22
552,/Games/Table Games,3
553,/Hobbies & Leisure/Water Activities,97
554,/Science/Mathematics,41
555,/News/Business News/Company News,610
556,/Games/Card Games/Collectible Card Games,3
557,/Business & Industrial/Chemicals Industry,76
558,/Books & Literature/Literary Classics,101
559,/Shopping/Consumer Resources/Consumer Advocacy & Protection,18
560,"""/Online Communities/Online Goodies/Skins",4
561,/Travel/Air Travel/Airport Parking & Transportation,1
562,/Arts & Entertainment/Movies,2837
563,/Online Communities/Virtual Worlds,46
564,/Arts & Entertainment,3367
565,/Sports/Team Sports/Soccer,1683
566,/Business & Industrial/Energy & Utilities/Oil & Gas,298
567,/Arts & Entertainment/Visual Art & Design/Painting,88
568,/Computers & Electronics/Enterprise Technology,418
569,/Reference/Geographic Reference,12
570,/Reference/General Reference/Time & Calendars,14
571,/Health/Health Conditions/AIDS & HIV,49
572,/Finance/Investing/Currencies & Foreign Exchange,118
573,/Health/Health Conditions/Respiratory Conditions,9
574,/Online Communities/Photo & Video Sharing/Photo & Image Sharing,79
575,/Home & Garden/Kitchen & Dining/Small Kitchen Appliances,17
576,/People & Society/Social Sciences/Psychology,91
577,/Jobs & Education,108
578,/Health/Substance Abuse/Steroids & Performance-Enhancing Drugs,35
579,/Games/Card Games/Poker & Casino Games,3
580,/Law & Government/Government,5313
581,/Real Estate/Real Estate Services,23
582,/Arts & Entertainment/Humor/Political Humor,24
583,/Shopping/Apparel,204
584,/Business & Industrial/Transportation & Logistics/Rail Transport,107
